gateId,terminalId,waitTime,waitLength,occurtime,operatingTime,tmp1,tmp2,tmp3
DG4_W,P01,15,102,20260518131300,06:30~20:00, , , 
DG5_E,P01,22,178,20260518131300,05:00~22:00, , , 
DG5_W,P01,27,233,20260518131300,05:00~22:00, , , 
DG1_E,P01,6,0,20260518132800,, , , 
DG1_W,P01,6,1,20260518132800,, , , 
DG2_E,P01,6,4,20260518132800,06:00~19:00, , , 
DG2_W,P01,7,7,20260518132800,06:00~19:00, , , 
DG3_E,P01,10,23,20260518132800,00:00~24:00, , , 
DG3_W,P01,11,31,20260518132800,00:00~24:00, , , 
DG4_E,P01,19,148,20260518132800,06:30~20:00, , , 
DG4_W,P01,17,127,20260518132800,06:30~20:00, , , 
DG5_E,P01,20,171,20260518132800,05:00~22:00, , , 
DG5_W,P01,36,259,20260518132800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518133800,, , , 
DG1_W,P01,6,1,20260518133800,, , , 
DG2_E,P01,7,7,20260518133800,06:00~19:00, , , 
DG2_W,P01,8,12,20260518133800,06:00~19:00, , , 
DG3_E,P01,14,37,20260518133800,00:00~24:00, , , 
DG3_W,P01,14,40,20260518133800,00:00~24:00, , , 
DG4_E,P01,19,142,20260518133800,06:30~20:00, , , 
DG4_W,P01,13,101,20260518133800,06:30~20:00, , , 
DG5_E,P01,19,163,20260518133800,05:00~22:00, , , 
DG5_W,P01,31,229,20260518133800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518134300,, , , 
DG1_W,P01,6,1,20260518134300,, , , 
DG2_E,P01,7,5,20260518134300,06:00~19:00, , , 
DG2_W,P01,7,6,20260518134300,06:00~19:00, , , 
DG3_E,P01,13,35,20260518134300,00:00~24:00, , , 
DG3_W,P01,13,35,20260518134300,00:00~24:00, , , 
DG4_E,P01,16,110,20260518134300,06:30~20:00, , , 
DG4_W,P01,14,99,20260518134300,06:30~20:00, , , 
DG5_E,P01,20,170,20260518134300,05:00~22:00, , , 
DG5_W,P01,28,208,20260518134300,05:00~22:00, , , 
DG1_E,P01,6,0,20260518134800,, , , 
DG1_W,P01,6,1,20260518134800,, , , 
DG2_E,P01,7,4,20260518134800,06:00~19:00, , , 
DG2_W,P01,7,7,20260518134800,06:00~19:00, , , 
DG3_E,P01,21,76,20260518134800,00:00~24:00, , , 
DG3_W,P01,20,75,20260518134800,00:00~24:00, , , 
DG4_E,P01,14,119,20260518134800,06:30~20:00, , , 
DG4_W,P01,14,116,20260518134800,06:30~20:00, , , 
DG5_E,P01,22,189,20260518134800,05:00~22:00, , , 
DG5_W,P01,26,210,20260518134800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518135800,, , , 
DG1_W,P01,6,0,20260518135800,, , , 
DG2_E,P01,7,8,20260518135800,06:00~19:00, , , 
DG2_W,P01,8,11,20260518135800,06:00~19:00, , , 
DG3_E,P01,24,93,20260518135800,00:00~24:00, , , 
DG3_W,P01,25,105,20260518135800,00:00~24:00, , , 
DG4_E,P01,17,111,20260518135800,06:30~20:00, , , 
DG4_W,P01,17,101,20260518135800,06:30~20:00, , , 
DG5_E,P01,22,195,20260518135800,05:00~22:00, , , 
DG5_W,P01,21,186,20260518135800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518140800,, , , 
DG1_W,P01,6,0,20260518140800,, , , 
DG2_E,P01,7,9,20260518140800,06:00~19:00, , , 
DG2_W,P01,8,13,20260518140800,06:00~19:00, , , 
